,Reporter,Partner,Trade Value (US$),expor,TradeValue,Weight,Type
216,Egypt,United Arab Emirates,95167828.0,,95167828.0,95167828.0,Directed
217,Egypt,Cameroon,98863.0,,98863.0,98863.0,Directed
218,Egypt,Venezuela,664.0,,664.0,664.0,Directed
219,Egypt,Cambodia,4271.0,,4271.0,4271.0,Directed
220,Egypt,Georgia,7661.0,5731.0,6696.0,6696.0,Directed
221,Egypt,Nicaragua,15789.0,,15789.0,15789.0,Directed
222,Egypt,Dominican Rep.,21227.0,,21227.0,21227.0,Directed
223,Egypt,Brunei Darussalam,8483.0,,8483.0,8483.0,Directed
224,Canada,Austria,118097538.0,,118097538.0,118097538.0,Directed
225,Canada,Italy,408635869.0,276472691.0,342554280.0,342554280.0,Directed
226,Canada,Guatemala,76984382.0,25196450.0,51090416.0,51090416.0,Directed
227,Canada,Lithuania,6871829.0,3451229.0,5161529.0,5161529.0,Directed
228,Canada,Slovakia,10991107.0,11476171.0,11233639.0,11233639.0,Directed
229,Canada,Turkey,91561887.0,61430582.0,76496234.5,76496234.5,Directed
230,Canada,Brazil,467984414.0,283563463.0,375773938.5,375773938.5,Directed
231,Canada,Spain,194701887.0,112331794.0,153516840.5,153516840.5,Directed
232,Canada,Netherlands,178339536.0,231781011.0,205060273.5,205060273.5,Directed
233,Canada,Belarus,1083342.0,795500.0,939421.0,939421.0,Directed
234,Canada,Germany,958701309.0,648082999.0,803392154.0,803392154.0,Directed
235,Canada,Russian Federation,55686616.0,,55686616.0,55686616.0,Directed
236,Canada,Viet Nam,364825419.0,,364825419.0,364825419.0,Directed
237,Canada,Belgium,200427922.0,285545609.0,242986765.5,242986765.5,Directed
238,Canada,Estonia,6218140.0,9178341.0,7698240.5,7698240.5,Directed
239,Canada,Romania,17214356.0,5976312.0,11595334.0,11595334.0,Directed
240,Canada,China,3949748524.0,,3949748524.0,3949748524.0,Directed
241,Canada,Rep. of Korea,457508395.0,,457508395.0,457508395.0,Directed
242,Canada,Japan,671537821.0,377588401.0,524563111.0,524563111.0,Directed
243,Canada,Poland,116302064.0,63384745.0,89843404.5,89843404.5,Directed
244,Canada,Thailand,177128071.0,,177128071.0,177128071.0,Directed
245,Canada,Portugal,27324776.0,18968181.0,23146478.5,23146478.5,Directed
246,Canada,Rep. of Moldova,438430.0,560187.0,499308.5,499308.5,Directed
247,Canada,Mauritania,44845611.0,,44845611.0,44845611.0,Directed
248,Canada,United Kingdom,415194136.0,920867632.0,668030884.0,668030884.0,Directed
249,Canada,Australia,117577623.0,75688293.0,96632958.0,96632958.0,Directed
250,Canada,Ghana,5737522.0,,5737522.0,5737522.0,Directed
251,Canada,Niger,88579.0,,88579.0,88579.0,Directed
252,Canada,"China, Hong Kong SAR",45536518.0,153843965.0,99690241.5,99690241.5,Directed
253,Canada,Comoros,3703.0,,3703.0,3703.0,Directed
254,Canada,Mozambique,672699.0,,672699.0,672699.0,Directed
255,Canada,Cameroon,399397.0,,399397.0,399397.0,Directed
256,Canada,Fiji,678454.0,,678454.0,678454.0,Directed
257,Canada,Peru,218371198.0,145231442.0,181801320.0,181801320.0,Directed
258,Canada,Saint Kitts and Nevis,153409.0,,153409.0,153409.0,Directed
259,Canada,Burkina Faso,1590.0,,1590.0,1590.0,Directed
260,Canada,Mauritius,399263.0,61.0,199662.0,199662.0,Directed
261,Canada,Norfolk Isds,26.0,,26.0,26.0,Directed
262,Canada,Trinidad and Tobago,15440198.0,,15440198.0,15440198.0,Directed
263,Canada,Sudan,39542.0,,39542.0,39542.0,Directed
264,Canada,Chile,194747807.0,,194747807.0,194747807.0,Directed
265,Canada,"China, Macao SAR",5744774.0,107327.0,2926050.5,2926050.5,Directed
266,Canada,Egypt,73290169.0,53677462.0,63483815.5,63483815.5,Directed
267,Canada,Qatar,2581055.0,227977.0,1404516.0,1404516.0,Directed
268,Canada,Sierra Leone,243170.0,,243170.0,243170.0,Directed
269,Canada,Myanmar,6483503.0,2656739.0,4570121.0,4570121.0,Directed
270,Canada,Mexico,1087336386.0,421954600.0,754645493.0,754645493.0,Directed
271,Canada,Bangladesh,84587593.0,,84587593.0,84587593.0,Directed
272,Canada,Barbados,520416.0,1023293.0,771854.5,771854.5,Directed
273,Canada,Argentina,30877371.0,29346733.0,30112052.0,30112052.0,Directed
274,Canada,Aruba,4370.0,,4370.0,4370.0,Directed
275,Canada,Mongolia,96035.0,,96035.0,96035.0,Directed
276,Canada,Brunei Darussalam,357012.0,,357012.0,357012.0,Directed
277,Canada,Seychelles,5505.0,,5505.0,5505.0,Directed
278,Canada,Panama,376178.0,,376178.0,376178.0,Directed
279,Canada,Antigua and Barbuda,4452.0,,4452.0,4452.0,Directed
280,Canada,Andorra,2131.0,,2131.0,2131.0,Directed
281,Canada,Greece,21467169.0,11295141.0,16381155.0,16381155.0,Directed
282,Canada,Lao People's Dem. Rep.,1090850.0,,1090850.0,1090850.0,Directed
283,Canada,Haiti,1807145.0,,1807145.0,1807145.0,Directed
284,Canada,Djibouti,61.0,,61.0,61.0,Directed
285,Canada,Kazakhstan,9693856.0,,9693856.0,9693856.0,Directed
286,Canada,Curaçao,16319.0,,16319.0,16319.0,Directed
287,Canada,Singapore,95150826.0,69681295.0,82416060.5,82416060.5,Directed
288,Canada,Luxembourg,12856717.0,5850318.0,9353517.5,9353517.5,Directed
289,Canada,Latvia,3424527.0,2487847.0,2956187.0,2956187.0,Directed
290,Canada,Greenland,9.0,,9.0,9.0,Directed
291,Canada,Cuba,53340422.0,,53340422.0,53340422.0,Directed
292,Canada,Turks and Caicos Isds,352.0,,352.0,352.0,Directed
293,Canada,Israel,67487914.0,32773000.0,50130457.0,50130457.0,Directed
294,Canada,Congo,94812.0,,94812.0,94812.0,Directed
295,Canada,Paraguay,497247.0,251161.0,374204.0,374204.0,Directed
296,Canada,Lesotho,548913.0,38.0,274475.5,274475.5,Directed
